frame_idx,joint_fixed,joint_model_derived,decoupled_fixed,decoupled_model_derived,memoryless
0,C3,C3,C1,C1,C1
1,C3,C3,C1,C1,C1
2,C3,C3,C1,C1,C1
3,C3,C3,C1,C3,C3
4,C3,C3,C1,C3,C3
5,C3,C3,C1,C3,C3
6,C3,C3,C1,C3,C3
7,C3,C3,C1,C3,C3
8,C3,C3,C1,C3,C3
9,C3,C3,C1,C3,C3
10,C3,C3,C1,C3,C3
11,C3,C3,C3,C3,C3
12,C3,C3,C3,C3,C3
13,C3,C3,C3,C3,C3
14,C3,C3,C3,C3,C3
15,C3,C3,C3,C3,C3
16,C3,C3,C3,C3,C3
17,C3,C3,C3,C3,C3
18,C3,C3,C3,C3,C3
19,C3,C3,C3,C3,C3
20,C3,C3,C3,C3,C3
21,C3,C3,C3,C3,C3
22,C3,C3,C3,C3,C3
23,C3,C3,C3,C3,C3
24,C3,C3,C3,C3,C3
25,C3,C3,C3,C3,C3
26,C3,C3,C3,C3,C3
27,C3,C3,C3,C3,C3
28,C3,C3,C3,C3,C3
29,C3,C3,C3,C3,C3
30,C3,C3,C3,C3,C3
31,C3,C3,C3,C3,C3
32,C3,C3,C3,C3,C3
33,C3,C3,C3,C3,C3
34,C3,C3,C3,C3,C3
35,C3,C3,C3,C3,C3
36,C3,C3,C3,C3,C3
37,C3,C3,C3,C3,C3
38,C3,C3,C3,C3,C3
39,C3,C3,C3,C3,C3
40,C3,C3,C3,C3,C3
41,C3,C3,C3,C3,C3
42,C3,C3,C3,C3,C3
43,C3,C3,C3,C3,C3
44,C3,C3,C3,C3,C3
45,C3,C3,C3,C3,C3
46,C3,C3,C3,C3,C3
47,C3,C3,C3,C3,C3
48,C3,C3,C3,C3,C3
49,C3,C3,C3,C3,C3
50,C3,C3,C3,C3,C3
51,C3,C3,C3,C3,C3
52,C3,C3,C3,C3,C3
53,C3,C3,C3,C3,C3
54,C3,C3,C3,C3,C3
55,C3,C3,C3,C3,C3
56,C3,C3,C3,C3,C3
57,C3,C3,C3,C3,C3
58,C3,C3,C3,C3,C3
59,C3,C3,C3,C3,C3
60,C3,C3,C3,C3,C3
61,C3,C3,C3,C3,C3
62,C3,C3,C3,C3,C3
63,C3,C3,C3,C3,C3
64,C3,C3,C3,C3,C3
65,C3,C3,C3,C3,C3
66,C3,C3,C3,C3,C3
67,C3,C3,C3,C3,C3
68,C3,C3,C3,C3,C3
69,C3,C3,C3,C3,C3
70,C3,C3,C3,C3,C3
71,C3,C3,C3,C3,C3
72,C3,C3,C3,C3,C3
73,C3,C3,C3,C3,C3
74,C3,C3,C3,C3,C3
75,C3,C3,C3,C3,C3
76,C3,C3,C3,C3,C3
77,C3,C3,C3,C3,C3
78,C3,C3,C3,C3,C3
79,C3,C3,C3,C3,C3
80,C3,C3,C3,C3,C3
81,C3,C3,C3,C3,C3
82,C3,C3,C3,C3,C3
83,C3,C3,C3,C3,C3
84,C3,C3,C3,C3,C3
85,C3,C3,C3,C3,C3
86,C3,C3,C3,C3,C3
87,C3,C3,C3,C3,C3
88,C3,C3,C3,C3,C3
89,C3,C3,C3,C3,C3
90,C3,C3,C3,C3,C3
91,C3,C3,C3,C3,C3
92,C3,C3,C3,C3,C3
93,C3,C3,C3,C3,C3
94,C3,C3,C3,C3,C3
95,C3,C3,C3,C3,C3
96,C3,C3,C3,C3,C3
97,C3,C3,C3,C3,C3
98,C3,C3,C3,C3,C3
99,C3,C3,C3,C3,C3
100,C3,C3,C3,C3,C3
101,C3,C3,C3,C3,C3
102,C3,C3,C3,C3,C3
103,C3,C3,C3,C3,C3
104,C3,C3,C3,C3,C3
105,C3,C3,C3,C3,C3
106,C3,C3,C3,C3,C3
107,C3,C3,C3,C3,C3
108,C3,C3,C3,C3,C3
109,C3,C3,C3,C3,C3
110,C3,C3,C3,C3,C3
111,C3,C3,C3,C3,C3
112,C3,C3,C3,C3,C3
113,C3,C3,C3,C3,C3
114,C3,C3,C3,C3,C3
115,C3,C3,C3,C3,C3
116,C3,C3,C3,C3,C3
117,C3,C3,C3,C3,C3
118,C3,C3,C3,C3,C3
119,C3,C3,C3,C3,C3
120,C3,C3,C3,C3,C3
121,C3,C3,C3,C3,C3
122,C3,C3,C3,C3,C3
123,C1,C1,C1,C1,C3
124,C1,C1,C1,C1,C1
125,C1,C1,C1,C1,C1
126,C1,C1,C1,C1,C1
127,C1,C1,C1,C1,C1
128,C1,C1,C1,C1,C1
129,C1,C1,C1,C1,C1
130,C1,C1,C1,C1,C1
131,C1,C1,C1,C1,C1
132,C1,C1,C1,C1,C1
133,C1,C1,C1,C1,C1
134,C1,C1,C1,C1,C1
135,C1,C1,C1,C1,C1
136,C1,C1,C1,C1,C1
137,C1,C1,C1,C1,C1
138,C1,C1,C1,C1,C1
139,C1,C1,C1,C1,C1
140,C1,C1,C1,C1,C1
141,C1,C1,C1,C1,C1
142,C1,C1,C1,C1,C1
143,C1,C1,C1,C1,C1
144,C1,C1,C1,C1,C1
145,C1,C1,C1,C1,C1
146,C1,C1,C1,C1,C1
147,C1,C1,C1,C1,C1
148,C1,C1,C1,C1,C1
149,C1,C1,C1,C1,C1
150,C1,C1,C1,C1,C1
151,C1,C1,C1,C1,C1
152,C1,C1,C1,C1,C1
153,C1,C1,C1,C1,C1
154,C1,C1,C1,C1,C1
155,C1,C1,C1,C1,C1
156,C1,C1,C1,C1,C1
157,C1,C1,C1,C1,C1
158,C1,C1,C1,C1,C1
159,C1,C1,C1,C1,C1
160,C1,C1,C1,C1,C1
161,C1,C1,C1,C1,C1
162,C1,C1,C1,C1,C1
163,C1,C1,C1,C1,C1
