frame_idx,timestamp_ns,blur,illumination,occlusion,blur_z,blur_fault,illumination_z,illumination_fault,occlusion_z,occlusion_fault,any_fault
0,1698345771603540738,373.53152452011926,6.283711814027655,1.0,-0.670986477553486,False,-1.8888135317496573,False,2.312183700887069,False,False
1,1698345771715104728,374.1389911219632,6.2776505294140845,1.0,-0.6702847083947848,False,-1.8932615915707878,False,2.312183700887069,False,False
2,1698345771815784377,373.5363409052567,6.284674580154291,1.0,-0.6704896750660565,False,-1.8912206499090891,False,2.312183700887069,False,False
3,1698345771916345461,373.2294507934373,6.283629162946216,1.0,-0.6709876831866164,False,-1.8905591677679372,False,2.312183700887069,False,False
4,1698345772013274724,373.70724288916864,6.2873073425178525,1.0,-0.6707843247695457,False,-1.8873969066209173,False,2.312183700887069,False,False
5,1698345772113962818,373.29975778895687,6.283811154581789,1.0,-0.6711127165901846,False,-1.8877489933215785,False,2.312183700887069,False,False
6,1698345772215103861,373.71306821481875,6.2842971066768545,1.0,-0.6708651185081942,False,-1.8876388391808865,False,2.312183700887069,False,False
7,1698345772297631344,374.4378590042281,6.274621481354252,1.0,-0.669854493205507,False,-1.8946621667487409,False,2.312183700887069,False,False
8,1698345772297631344,374.5022205385286,6.272273013453596,1.0,-0.6690727025339048,False,-1.9013019138324194,False,2.312183700887069,False,False
9,1698345772297631344,373.74910583499195,6.271725934675219,1.0,-0.6693954766015972,False,-1.9063512092985961,False,2.312183700887069,False,False
10,1698345772297631344,374.6611471530888,6.275699753901183,1.0,-0.6685677926750566,False,-1.906969537993986,False,2.312183700887069,False,False
11,1698345772737026360,372.904058119801,6.284901059026446,1.0,-0.6700182718460913,False,-1.9006500114040914,False,2.312183700887069,False,False
12,1698345772800112208,372.8540990066692,6.285318895289652,1.0,-0.6710913219857451,False,-1.895919714607095,False,2.312183700887069,False,False
13,1698345772904399082,372.38679947819764,6.28775178564265,1.0,-0.6723822997612097,False,-1.8908231358398675,False,2.312183700887069,False,False
14,1698345773000787924,372.22347110942985,6.285218768368993,1.0,-0.6734746675186308,False,-1.8891143796233736,False,2.312183700887069,False,False
15,1698345773102447781,372.7828135467698,6.276322705749721,1.0,-0.6735931507056878,False,-1.894446605435094,False,2.312183700887069,False,False
16,1698345773193948469,372.5350987506856,6.278498460159878,1.0,-0.6739622587499445,False,-1.8965824911162588,False,2.312183700887069,False,False
17,1698345773303708667,372.6979674964235,6.284631083758285,1.0,-0.6740324820408149,False,-1.8935771993214348,False,2.312183700887069,False,False
18,1698345773399255644,373.009483682936,6.2850641094523345,1.0,-0.6737217626714784,False,-1.891155720151979,False,2.312183700887069,False,False
19,1698345773496192321,372.1972490761229,6.282937216861338,1.0,-0.6744425842734719,False,-1.8910214999863975,False,2.312183700887069,False,False
20,1698345773637226057,372.0810111531002,6.285030187012245,1.0,-0.6750814419862082,False,-1.8893916245223625,False,2.312183700887069,False,False
21,1698345773715098584,373.01455476373485,6.284454759418352,1.0,-0.6744501763225332,False,-1.888672987918429,False,2.312183700887069,False,False
22,1698345773799817221,373.14575840969763,6.277961491154347,1.0,-0.6738567187786075,False,-1.8929350123285649,False,2.312183700887069,False,False
23,1698345773898342456,373.5051867654579,6.288058081344078,1.0,-0.6730260728145551,False,-1.8885090698464353,False,2.312183700887069,False,False
24,1698345773898342456,373.91037891250573,6.2870555141888556,1.0,-0.6719765268362352,False,-1.8861466417179087,False,2.312183700887069,False,False
25,1698345774124739388,373.6175124719481,6.287328901355686,1.0,-0.6715801754089841,False,-1.8842923174821675,False,2.312183700887069,False,False
26,1698345774217718058,373.31254113307,6.287001794749575,1.0,-0.6716550442190894,False,-1.8832343369503102,False,2.312183700887069,False,False
27,1698345774303627293,374.1054791544877,6.2875284447506505,1.0,-0.6707914193952078,False,-1.8821072696818089,False,2.312183700887069,False,False
28,1698345774405677358,373.9965218469423,6.276075737341431,1.0,-0.6703127537583006,False,-1.8897228656763685,False,2.312183700887069,False,False
29,1698345774505118209,373.900569057482,6.276114331422435,1.0,-0.6700885362247571,False,-1.8950254606946741,False,2.312183700887069,False,False
30,1698345774605393864,375.4052238183347,6.276928003303174,1.0,-0.6681933479685015,False,-1.898140165962754,False,2.312183700887069,False,False
31,1698345774709634723,375.12824227348625,6.276121976472184,1.0,-0.6671866960943783,False,-1.9009119605929068,False,2.312183700887069,False,False
32,1698345774800829554,375.3339416614112,6.276114924869923,1.0,-0.6662444078106746,False,-1.9028573916361722,False,2.312183700887069,False,False
33,1698345774905434478,375.95296295224057,6.277053650940123,1.0,-0.6648696884250989,False,-1.9035303113914133,False,2.312183700887069,False,False
34,1698345775030934532,375.10027469849297,6.2759035438284645,1.0,-0.6648924436496225,False,-1.9048453586879128,False,2.312183700887069,False,False
35,1698345775101384182,375.03092550277506,6.275682090876421,1.0,-0.6649884872079012,False,-1.9059284045367464,False,2.312183700887069,False,False
36,1698345775209348001,375.7377566003779,6.275478228619695,1.0,-0.6642391587912553,False,-1.9068361404807739,False,2.312183700887069,False,False
37,1698345775302543945,375.9156850192786,6.279108790891801,1.0,-0.6635090790365128,False,-1.9048072758395005,False,2.312183700887069,False,False
38,1698345775408027743,376.2811705910288,6.275967076937708,1.0,-0.6625757999922565,False,-1.9056926101749745,False,2.312183700887069,False,False
39,1698345775506886087,375.6808361792132,6.275609436719391,1.0,-0.6626160344353262,False,-1.9065747976643015,False,2.312183700887069,False,False
40,1698345775506886087,375.4392752747912,6.27492221651437,1.0,-0.6629232591426449,False,-1.9076966438791687,False,2.312183700887069,False,False
41,1698345775506886087,375.6042658616385,6.273891782057588,1.0,-0.662947712863886,False,-1.9092381181939164,False,2.312183700887069,False,False
42,1698345775806104388,376.0578056672059,6.277852326061272,1.0,-0.662440883560687,False,-1.9074107140747505,False,2.312183700887069,False,False
43,1698345775906120990,375.24127717710275,6.274214937964805,1.0,-0.6630293886707616,False,-1.9088008201089905,False,2.312183700887069,False,False
44,1698345776005187749,375.4065009530724,6.274656482638578,1.0,-0.6632504692847442,False,-1.9094498677861367,False,2.312183700887069,False,False
45,1698345776105329292,375.44014958067953,6.276096999518202,1.0,-0.6633663535049066,False,-1.908847081149708,False,2.312183700887069,False,False
46,1698345776237440584,375.59298525797044,6.2750283086956085,1.0,-0.663270910711681,False,-1.9092093868149167,False,2.312183700887069,False,False
47,1698345776307637564,375.3661121797674,6.276566247091582,1.0,-0.6634661934027334,False,-1.9083343882136505,False,2.312183700887069,False,False
48,1698345776407073509,375.7817561396343,6.274976450332501,1.0,-0.6631227231403538,False,-1.9088885579005834,False,2.312183700887069,False,False
49,1698345776509376589,375.35089469734567,6.275250593030771,1.0,-0.6633800419332087,False,-1.9090752976906475,False,2.312183700887069,False,False
50,1698345776608100118,376.96627806642357,6.276914031051312,1.0,-0.661694011089853,False,-1.907985305364937,False,2.312183700887069,False,False
51,1698345776728601023,377.28638772320994,6.278071689642978,1.0,-0.6601439863138586,False,-1.9063727656328149,False,2.312183700887069,False,False
52,1698345776805854669,377.27542291911624,6.277046982296235,1.0,-0.6590716359408646,False,-1.9059959669580961,False,2.312183700887069,False,False
53,1698345776906478030,376.62438153507753,6.280111680557553,1.0,-0.6590730991297964,False,-1.9034831860910502,False,2.312183700887069,False,False
54,1698345777005567471,377.5951465944595,6.278615014031034,1.0,-0.6579526576272231,False,-1.9028225647842234,False,2.312183700887069,False,False
55,1698345777108858260,376.32130098466325,6.2765929537719725,1.0,-0.6586399448067013,False,-1.9038440141559732,False,2.312183700887069,False,False
56,1698345777108858260,373.09454998506754,6.260160339029844,1.0,-0.6628487146909215,False,-1.9166180653809541,False,2.312183700887069,False,False
57,1698345777304907000,371.40690126091846,6.253033472090613,1.0,-0.6677444913705924,False,-1.9307899362069278,False,2.312183700887069,False,False
58,1698345777409906432,371.86954905488454,6.252888590271441,1.0,-0.6706370662341491,False,-1.9408165669760389,False,2.312183700887069,False,False
59,1698345777507820365,370.25129182729546,6.257746542912051,1.0,-0.6745313426306574,False,-1.9442702111035912,False,2.312183700887069,False,False
60,1698345777607589617,368.8169763407905,6.259801498774121,1.0,-0.6789143134123501,False,-1.9451797373434825,False,2.312183700887069,False,False
61,1698345777708445327,365.27801237028143,6.259675987288889,1.0,-0.6860707424436371,False,-1.9459085120271697,False,2.312183700887069,False,False
62,1698345777809145230,363.1572263170175,6.259832234681708,1.0,-0.69353025769618,False,-1.9463039925146512,False,2.312183700887069,False,False
63,1698345777905739722,362.78934367165726,6.264112687495749,1.0,-0.6991769107820102,False,-1.9434396283691553,False,2.312183700887069,False,False
64,1698345778013882025,361.55399633242484,6.274008124256451,1.0,-0.7045566894666746,False,-1.934172829880929,False,2.312183700887069,False,False
65,1698345778108513044,360.03049039275777,6.278104295376726,1.0,-0.7100825481471992,False,-1.9246801051510316,False,2.312183700887069,False,False
66,1698345778208500503,358.4439453017772,6.27492499251309,0.99,-0.7157834881160409,False,-1.920368321959581,False,2.276667665706129,False,False
67,1698345778308496279,358.78389605342255,6.276621946959796,0.995,-0.7193814217003986,False,-1.9161047675942908,False,2.2695644586699406,False,False
68,1698345778405607340,360.90656412485345,6.288356618639027,1.0,-0.7194477860978699,False,-1.9045088176227956,False,2.2823502313350796,False,False
69,1698345778508043417,359.6415172776136,6.286423227242275,0.99,-0.720955672733012,False,-1.8978104674878977,False,2.255784237019736,False,False
70,1698345778610519500,355.2742035814036,6.270396057027129,0.985,-0.7270564848373724,False,-1.9048831245213849,False,2.219430023408527,False,False
71,1698345778708984366,351.2866083674333,6.27141524985876,0.99,-0.7359336791398188,False,-1.9090860521213362,False,2.211740091471151,False,False
72,1698345778708984366,353.18188787078975,6.2981107538112555,1.0,-0.7399582142003075,False,-1.8924376670521854,False,2.2418731742959253,False,False
73,1698345778912221630,352.30072909415367,6.31309567904327,1.0,-0.7437933377977666,False,-1.8697871444678975,False,2.262966332273267,False,False
74,1698345779007411096,353.9317568849811,6.331702443649416,0.985,-0.744593697270233,False,-1.840277247099611,False,2.224457490085999,False,False
75,1698345779112153987,354.9273879002606,6.346105910494553,0.995,-0.7440037570421006,False,-1.8090503678104288,False,2.2330173357358496,False,False
76,1698345779205812871,353.441214676753,6.349489177432006,0.98,-0.7453076842709697,False,-1.7847087496204406,False,2.185735174919337,False,False
77,1698345779306094303,353.29177856406324,6.341797163522992,0.995,-0.746393067768633,False,-1.7733143836643877,False,2.2059117151191865,False,False
78,1698345779407622876,364.82988463576476,6.367403524942989,0.98,-0.733823565165117,False,-1.7465471578571816,False,2.166761240487675,False,False
79,1698345779512600370,367.7722562808144,6.380547110909436,0.96,-0.721625770628201,False,-1.71816470935592,False,2.0683238378837383,False,False
80,1698345779604305360,369.00312893022704,6.3898790581014655,0.975,-0.7116653622643305,False,-1.6914487673471048,False,2.05269170883239,False,False
81,1698345779705704096,368.8953656757598,6.392141964503968,0.955,-0.7048175687326507,False,-1.6710869792640664,False,1.9707171481345693,False,False
82,1698345779809779619,375.0254209908306,6.408291874749374,0.99,-0.6929424337933396,False,-1.6449821529881408,False,2.0376410787793815,False,False
83,1698345779906258183,384.49229461324614,6.422256386515127,0.98,-0.6736933369546765,False,-1.6164609496425275,False,2.04897179504981,False,False
84,1698345780008965685,387.3339764269578,6.439240738643603,0.97,-0.6569361472813532,False,-1.5840321794194578,False,2.021387261258172,False,False
85,1698345780108181469,393.7438426269251,6.4904971966726315,0.97,-0.6378011865734395,False,-1.5237176060191395,False,2.002078087604024,False,False
86,1698345780214216376,398.96775430253996,6.542933366420123,0.935,-0.6183718471558383,False,-1.443017241654065,False,1.864255542912838,False,False
87,1698345780305633986,409.8664961368793,6.58097391197977,0.975,-0.5921806570654727,False,-1.3586110194289656,False,1.909843902352761,False,False
88,1698345780305633986,424.49502181472855,6.622809787350085,0.94,-0.5569473794453954,False,-1.268825502619229,False,1.8174496308274213,False,False
89,1698345780305633986,430.95650214394783,6.639937052737491,0.92,-0.5248195305155231,False,-1.19340683640377,False,1.6817415703978078,False,False
90,1698345780609191638,428.330639719499,6.665511823337231,0.855,-0.5053635351580115,False,-1.121845783266017,False,1.355891699420979,False,False
91,1698345780708941973,404.1857457880195,6.643311072219666,0.835,-0.5196374634779866,False,-1.0880450163928201,False,1.0567647193753213,False,False
92,1698345780815733405,382.6955069719611,6.6408410455423805,0.805,-0.5544555770369524,False,-1.0661971029973765,False,0.7408277278005438,False,False
93,1698345780908294721,387.4936579722512,6.645107104255362,0.81,-0.5732852449773487,False,-1.0477729262119035,False,0.5374298512886698,False,False
94,1698345781009096847,376.58511820502554,6.643370217623377,0.84,-0.5990679839886517,False,-1.0361506127359879,False,0.5015994432731743,False,False
