frame_idx,joint_fixed,joint_model_derived,decoupled_fixed,decoupled_model_derived,memoryless
0,C2,C2,C1,C1,C1
1,C2,C2,C1,C1,C1
2,C2,C2,C1,C1,C1
3,C2,C2,C1,C1,C1
4,C2,C2,C1,C1,C2
5,C2,C2,C1,C2,C2
6,C2,C2,C1,C2,C2
7,C2,C2,C1,C2,C2
8,C2,C2,C1,C2,C2
9,C2,C2,C1,C2,C2
10,C2,C2,C1,C2,C2
11,C2,C2,C2,C2,C2
12,C2,C2,C2,C2,C2
13,C2,C2,C2,C2,C2
14,C2,C2,C2,C2,C2
15,C2,C2,C2,C2,C2
16,C2,C2,C2,C2,C2
17,C2,C2,C2,C2,C2
18,C2,C2,C2,C2,C2
19,C2,C2,C2,C2,C2
20,C2,C2,C2,C2,C2
21,C2,C2,C2,C2,C2
22,C2,C2,C2,C2,C2
23,C2,C2,C2,C2,C2
24,C2,C2,C2,C2,C2
25,C2,C2,C2,C2,C2
26,C2,C2,C2,C2,C2
27,C2,C2,C2,C2,C2
28,C2,C2,C2,C2,C2
29,C2,C2,C2,C2,C2
30,C2,C2,C2,C2,C2
31,C2,C2,C2,C2,C2
32,C2,C2,C2,C2,C2
33,C2,C2,C2,C2,C2
34,C2,C2,C2,C2,C2
35,C2,C2,C2,C2,C2
36,C2,C2,C2,C2,C2
37,C2,C2,C2,C2,C2
38,C2,C2,C2,C2,C2
39,C2,C2,C2,C2,C2
40,C2,C2,C2,C2,C2
41,C2,C2,C2,C2,C2
42,C2,C2,C2,C2,C2
43,C2,C2,C2,C2,C2
44,C2,C2,C2,C2,C2
45,C2,C2,C2,C2,C2
46,C2,C2,C2,C2,C2
47,C2,C2,C2,C2,C2
48,C2,C2,C2,C2,C2
49,C2,C2,C2,C2,C2
50,C2,C2,C2,C2,C2
51,C2,C2,C2,C2,C2
52,C2,C2,C2,C2,C2
53,C2,C2,C2,C2,C2
54,C2,C2,C2,C2,C2
55,C2,C2,C2,C2,C2
56,C2,C2,C2,C2,C2
57,C2,C2,C2,C2,C2
58,C2,C2,C2,C2,C2
59,C2,C2,C2,C2,C2
60,C2,C2,C2,C2,C2
61,C2,C2,C2,C2,C2
62,C2,C2,C2,C2,C2
63,C2,C2,C2,C2,C2
64,C2,C2,C2,C2,C2
65,C2,C2,C2,C2,C2
66,C2,C2,C2,C2,C2
67,C2,C2,C2,C2,C2
68,C2,C2,C2,C2,C2
69,C2,C2,C2,C2,C2
70,C2,C2,C2,C2,C2
71,C2,C2,C2,C2,C2
72,C2,C2,C2,C2,C2
73,C2,C2,C2,C2,C2
74,C2,C2,C2,C2,C2
75,C2,C2,C2,C2,C2
76,C2,C2,C2,C2,C2
77,C2,C2,C2,C2,C2
78,C2,C2,C2,C2,C2
79,C2,C2,C2,C2,C2
80,C2,C2,C2,C2,C2
81,C2,C2,C2,C2,C2
82,C2,C2,C2,C2,C2
83,C2,C2,C2,C2,C2
84,C2,C2,C2,C2,C2
85,C2,C2,C2,C2,C2
86,C2,C2,C2,C2,C2
87,C2,C2,C2,C2,C2
88,C2,C2,C2,C2,C2
89,C2,C2,C2,C2,C2
90,C2,C2,C2,C2,C2
91,C2,C2,C2,C2,C2
92,C2,C2,C2,C2,C2
93,C2,C2,C2,C2,C2
94,C2,C2,C2,C2,C2
95,C2,C2,C2,C2,C2
96,C2,C2,C2,C2,C2
97,C2,C2,C2,C2,C2
98,C2,C2,C2,C2,C2
99,C2,C2,C2,C2,C2
100,C2,C2,C2,C2,C2
101,C2,C2,C2,C2,C2
102,C2,C2,C2,C2,C2
103,C2,C2,C2,C2,C2
104,C2,C2,C2,C2,C2
105,C2,C2,C2,C2,C2
106,C2,C2,C2,C2,C2
107,C2,C2,C2,C2,C2
108,C2,C2,C2,C2,C2
109,C2,C2,C2,C2,C2
110,C2,C2,C2,C2,C2
111,C2,C2,C2,C2,C2
112,C2,C2,C2,C2,C2
113,C2,C2,C2,C2,C2
114,C2,C2,C2,C2,C2
115,C2,C2,C2,C2,C2
116,C2,C2,C2,C2,C2
117,C2,C2,C2,C2,C2
118,C2,C2,C2,C2,C2
119,C2,C2,C2,C2,C2
120,C2,C2,C2,C2,C2
121,C2,C2,C2,C2,C2
122,C2,C2,C2,C2,C1
123,C2,C2,C2,C2,C1
124,C1,C1,C1,C1,C1
125,C1,C1,C1,C1,C1
126,C1,C1,C1,C1,C1
