frame_idx,joint_fixed,joint_model_derived,decoupled_fixed,decoupled_model_derived,memoryless
0,C1,C1,C1,C1,C1
1,C1,C1,C1,C1,C1
2,C1,C1,C1,C1,C1
3,C1,C1,C1,C1,C1
4,C1,C1,C1,C1,C1
5,C1,C1,C1,C1,C1
6,C1,C1,C1,C1,C1
7,C1,C1,C1,C1,C1
8,C1,C1,C1,C1,C1
9,C1,C1,C1,C1,C1
10,C1,C1,C1,C1,C1
11,C1,C1,C1,C1,C1
12,C1,C1,C1,C1,C1
13,C1,C1,C1,C1,C1
14,C1,C1,C1,C1,C1
15,C1,C1,C1,C1,C1
16,C1,C1,C1,C1,C1
17,C1,C1,C1,C1,C1
18,C1,C1,C1,C1,C1
19,C1,C1,C1,C1,C1
20,C1,C1,C1,C1,C1
21,C1,C1,C1,C1,C1
22,C1,C1,C1,C1,C1
23,C1,C1,C1,C1,C1
24,C1,C1,C1,C1,C1
25,C1,C1,C1,C1,C1
26,C1,C1,C1,C1,C1
27,C1,C1,C1,C1,C1
28,C1,C1,C1,C1,C1
29,C1,C1,C1,C1,C1
30,C1,C1,C1,C1,C1
31,C1,C1,C1,C1,C1
32,C1,C1,C1,C1,C1
33,C1,C1,C1,C1,C1
34,C1,C1,C1,C1,C1
35,C1,C1,C1,C1,C1
36,C1,C1,C1,C1,C1
37,C1,C1,C1,C1,C1
38,C1,C1,C1,C1,C3
39,C1,C1,C1,C1,C3
40,C3,C3,C3,C3,C3
41,C3,C3,C3,C3,C3
42,C3,C3,C3,C3,C3
43,C3,C3,C3,C3,C3
44,C3,C3,C3,C3,C3
45,C3,C3,C3,C3,C3
46,C3,C3,C3,C3,C3
47,C3,C3,C3,C3,C3
48,C3,C3,C3,C3,C3
49,C3,C3,C3,C3,C3
50,C3,C3,C3,C3,C3
51,C3,C3,C3,C3,C3
52,C3,C3,C3,C3,C3
53,C3,C3,C3,C3,C3
54,C3,C3,C3,C3,C3
55,C3,C3,C3,C3,C3
56,C3,C3,C3,C3,C3
57,C3,C3,C3,C3,C3
58,C3,C3,C3,C3,C3
59,C3,C3,C3,C3,C3
60,C3,C3,C3,C3,C3
61,C3,C3,C3,C3,C3
62,C3,C3,C3,C3,C3
63,C3,C3,C3,C3,C3
64,C3,C3,C3,C3,C3
65,C3,C3,C3,C3,C1
66,C1,C1,C1,C1,C1
67,C1,C1,C1,C1,C1
68,C1,C1,C1,C1,C1
69,C1,C1,C1,C1,C1
70,C1,C1,C1,C1,C1
71,C1,C1,C1,C1,C1
72,C1,C1,C1,C1,C1
73,C1,C1,C1,C1,C1
74,C1,C1,C1,C1,C1
75,C1,C1,C1,C1,C1
76,C1,C1,C1,C1,C1
77,C1,C1,C1,C1,C1
78,C1,C1,C1,C1,C1
79,C1,C1,C1,C1,C1
80,C1,C1,C1,C1,C1
81,C1,C1,C1,C1,C1
82,C3,C3,C1,C1,C1
83,C3,C3,C1,C1,C1
84,C3,C1,C1,C1,C1
85,C3,C1,C1,C1,C1
86,C3,C1,C1,C1,C1
87,C3,C1,C1,C1,C1
88,C3,C1,C1,C1,C1
89,C3,C1,C1,C1,C1
90,C3,C1,C1,C1,C1
91,C3,C1,C1,C1,C1
92,C3,C1,C1,C1,C1
93,C1,C1,C1,C1,C1
94,C1,C1,C1,C1,C1
95,C1,C1,C1,C1,C1
96,C1,C1,C1,C1,C1
97,C1,C1,C1,C1,C1
98,C1,C1,C1,C1,C1
99,C1,C1,C1,C1,C1
100,C1,C1,C1,C1,C1
101,C1,C1,C1,C1,C1
102,C1,C1,C1,C1,C1
103,C1,C1,C1,C1,C1
104,C1,C1,C1,C1,C1
105,C1,C1,C1,C1,C1
106,C1,C1,C1,C1,C1
107,C1,C1,C1,C1,C1
108,C1,C1,C1,C1,C1
109,C1,C1,C1,C1,C1
110,C1,C1,C1,C1,C1
111,C1,C1,C1,C1,C1
112,C1,C1,C1,C1,C1
113,C1,C1,C1,C1,C1
114,C1,C1,C1,C1,C1
115,C1,C1,C1,C1,C1
116,C1,C1,C1,C1,C1
117,C3,C3,C1,C1,C1
118,C3,C3,C1,C1,C1
119,C3,C3,C1,C1,C1
120,C3,C3,C1,C1,C3
121,C3,C3,C1,C1,C3
122,C3,C3,C3,C3,C3
123,C3,C3,C3,C3,C3
124,C3,C3,C3,C3,C3
125,C3,C3,C3,C3,C3
126,C3,C3,C3,C3,C3
127,C3,C3,C3,C3,C3
128,C3,C3,C3,C3,C3
129,C3,C3,C3,C3,C3
130,C3,C3,C3,C3,C3
131,C3,C3,C3,C3,C3
132,C3,C3,C3,C3,C3
133,C3,C3,C3,C3,C3
134,C3,C3,C3,C3,C3
135,C3,C3,C3,C3,C3
136,C3,C3,C3,C3,C3
137,C3,C3,C3,C3,C3
138,C3,C3,C3,C3,C3
139,C3,C3,C3,C3,C3
140,C3,C3,C3,C3,C3
141,C3,C3,C3,C3,C3
142,C3,C3,C3,C3,C3
143,C3,C3,C3,C3,C3
144,C3,C3,C3,C3,C3
145,C3,C3,C3,C3,C3
146,C3,C3,C3,C3,C3
147,C3,C3,C3,C3,C3
148,C3,C3,C3,C3,C3
149,C3,C3,C3,C3,C3
150,C3,C3,C3,C3,C3
151,C3,C3,C3,C3,C3
152,C3,C3,C3,C3,C3
153,C3,C3,C3,C3,C3
154,C3,C3,C3,C3,C3
155,C3,C3,C3,C3,C3
156,C3,C3,C3,C3,C3
