frame_idx,blur,illumination,occlusion,gt_fault,gt_blur,gt_illumination,gt_occlusion
0,4.0783738982700966,7.214596212260652,0.9848484848484849,False,False,False,False
1,3.9004201147621305,7.162866841007492,0.9848484848484849,False,False,False,False
2,3.879107721232208,7.164321031949385,1.0,False,False,False,False
3,3.633208080483112,7.119385917242136,0.9852941176470589,False,False,False,False
4,3.6876463217357554,7.125573252854307,1.0,False,False,False,False
5,3.6934998091963505,7.123427586835726,1.0,False,False,False,False
6,3.6133206125848663,7.121697727688179,1.0,False,False,False,False
7,3.699867653034374,7.1230939611811035,1.0,False,False,False,False
8,3.7066946694975376,7.124724212797014,1.0,False,False,False,False
9,3.729740379664471,7.125754997239536,1.0,False,False,False,False
10,3.6992225181730816,7.1256373718974,1.0,False,False,False,False
11,3.6507525883863647,7.127564608434955,1.0,False,False,False,False
12,3.676350864828421,7.12575424188203,1.0,False,False,False,False
13,3.6496878923917304,7.1246748595162614,1.0,False,False,False,False
14,3.5871128237620975,7.128665705188517,1.0,False,False,False,False
15,3.5740879892627557,7.128400442143634,1.0,False,False,False,False
16,3.641372805313321,7.13235648558979,1.0,False,False,False,False
17,3.5630856127415345,7.127429645465972,1.0,False,False,False,False
18,3.600216791493811,7.133180289282376,1.0,False,False,False,False
19,3.628609259530491,7.13050245625049,1.0,False,False,False,False
20,3.5736130775306956,7.129975152585666,1.0,False,False,False,False
21,3.645274994986687,7.131182339927016,1.0,False,False,False,False
22,3.647934779218893,7.132589116424067,1.0,False,False,False,False
23,3.5885019330317527,7.1299253549354535,1.0,False,False,False,False
24,3.5934174674187656,7.128580729186392,1.0,False,False,False,False
25,3.631110499429414,7.130187279764323,1.0,False,False,False,False
26,3.6637339227850214,7.129208210228722,1.0,False,False,False,False
27,3.6483344613956508,7.128885409911794,1.0,False,False,False,False
28,3.609267949108635,7.130596392408013,1.0,False,False,False,False
29,3.6882518576986154,7.130848820850528,1.0,False,False,False,False
30,3.6521612796347274,7.132081103494585,1.0,False,False,False,False
31,3.6582880557699364,7.131927392852942,1.0,False,False,False,False
32,3.6140251679105138,7.131358008261064,1.0,False,False,False,False
33,3.5609799944891134,7.126435244470818,1.0,False,False,False,False
34,3.601760345846591,7.1295476909488205,1.0,False,False,False,False
35,3.657662844411909,7.129311222885832,1.0,False,False,False,False
36,3.6826002106406683,7.130096590990641,1.0,False,False,False,False
37,3.717190455393504,7.131635130318081,1.0,False,False,False,False
38,3.734022671822743,7.1302182051732,1.0,False,False,False,False
39,3.767572093153783,7.131150023300074,1.0,False,False,False,False
40,3.7366385789051355,7.1321283009432825,1.0,False,False,False,False
41,3.8179376834576444,7.133250531402723,1.0,False,False,False,False
42,3.8810709154738556,7.129480342283815,1.0,False,False,False,False
43,3.8877000666364974,7.133367688203085,1.0,False,False,False,False
44,3.956100972379147,7.136158076206564,1.0,False,False,False,False
45,3.9285435891980582,7.139335983763987,1.0,False,False,False,False
46,3.9335539658506526,7.1384758665288555,1.0,False,False,False,False
47,3.920493615287802,7.136234453163533,1.0,False,False,False,False
48,3.9273601315001394,7.142664952378347,1.0,False,False,False,False
49,4.083091778154492,7.139402950483026,1.0,False,False,False,False
50,4.207604953552781,7.145667240789347,1.0,False,False,False,False
51,4.04979951104718,7.143878124248645,1.0,False,False,False,False
52,4.119403547345445,7.134321293361246,1.0,False,False,False,False
53,4.14197834390763,7.135578647713071,1.0,False,False,False,False
54,4.282983362123495,7.1368723405693455,1.0,False,False,False,False
55,4.184230900557837,7.138923414609598,1.0,False,False,False,False
56,4.254756821640959,7.137236651854256,1.0,False,False,False,False
57,4.186589638504956,7.136364557300248,1.0,False,False,False,False
58,4.360609691910731,7.138531185204527,1.0,False,False,False,False
59,1.1229459510003033,7.10547465291871,0.47058823529411764,True,True,False,False
60,1.1281740714714283,7.10510687134799,0.295,True,True,False,False
61,1.1316370611746385,7.104895329134794,0.325,True,True,False,False
62,1.1259577628606365,7.097261553579555,0.35,True,True,False,False
63,1.1307782415840408,7.095016755022398,0.345,True,True,False,False
64,1.1435932735096486,7.0833713525340105,0.405,True,True,False,False
65,1.1625941887356916,7.105384463732163,0.39,True,True,False,False
66,1.2191457699474784,7.255542567276144,0.43,True,True,False,False
67,1.2332826737695797,7.296420830143973,0.3,True,True,False,False
68,1.1945288753172858,7.281884951550714,0.2,True,True,False,False
69,1.1520667109772444,7.214992397536124,0.175,True,True,False,False
70,1.1148920338785828,7.126328833473869,0.19,True,True,False,False
71,1.1137878337176983,7.122244373379994,0.21,True,True,False,False
72,1.1144368982886141,7.118377052021842,0.23,True,True,False,False
73,1.1093037613355228,7.114195166335142,0.235,True,True,False,False
74,1.114021339668332,7.117053739003621,0.245,True,True,False,False
75,1.1171360472515697,7.113132734461819,0.225,True,True,False,False
76,1.1213391273906181,7.113889236323002,0.21,True,True,False,False
77,1.1132693763358141,7.1126110870848755,0.22,True,True,False,False
78,1.1157904317232645,7.112478203249347,0.2,True,True,False,False
79,1.1169421223431042,7.111991817234008,0.19,True,True,False,False
80,1.1177099158494916,7.1107925719158,0.225,True,True,False,False
81,1.1240580658095474,7.107989486873139,0.215,True,True,False,False
82,1.117492242516217,7.109755621463723,0.235,True,True,False,False
83,1.1238403919750437,7.104487537160345,0.23,True,True,False,False
84,1.1213826611049391,7.106288789827843,0.23,True,True,False,False
85,1.123139876942553,7.099700671956699,0.205,True,True,False,False
86,1.1222968904392157,7.101796461589583,0.2,True,True,False,False
87,1.1175990992441978,7.100055456299067,0.23,True,True,False,False
88,1.1198193705517128,7.100260393189907,0.225,True,True,False,False
89,1.1216676149483518,7.0975183845408205,0.215,True,True,False,False
90,1.1209116956543692,7.098021899290134,0.195,True,True,False,False
91,1.1229538655233566,7.092710455190739,0.225,True,True,False,False
92,1.1175357776089159,7.095954214242663,0.195,True,True,False,False
93,1.121022511006592,7.097845221744144,0.225,True,True,False,False
94,1.1223008479670198,7.101345672300292,0.205,True,True,False,False
95,1.1199262282194973,7.103609226203994,0.2,True,True,False,False
96,1.1252097573378637,7.103235817636099,0.225,True,True,False,False
97,1.1270303000110051,7.1026670990265695,0.2,True,True,False,False
98,1.1269748922095868,7.098317106486514,0.18,True,True,False,False
99,1.1217151066603783,7.099010140964408,0.175,True,True,False,False
100,1.1211372841372325,7.097448633951691,0.2,True,True,False,False
101,1.1213787031385603,7.094324798286047,0.19,True,True,False,False
102,1.1167600661335293,7.093950903415978,0.205,True,True,False,False
103,1.1269076113861813,7.0961372885092775,0.19,True,True,False,False
104,1.118390638575272,7.096177623240758,0.225,True,True,False,False
105,1.1195146274089602,7.096024707391978,0.21,True,True,False,False
106,1.1257717479954943,7.090756518537313,0.21,True,True,False,False
107,1.1239314199701875,7.0968110991853575,0.205,True,True,False,False
108,1.1223245931651704,7.098733982245003,0.185,True,True,False,False
109,1.121628038949796,7.097390960357516,0.205,True,True,False,False
110,1.12462401809879,7.097514194065266,0.195,True,True,False,False
111,1.1295592705167172,7.099083477637279,0.195,True,True,False,False
112,1.124608187548999,7.097854189534101,0.175,True,True,False,False
113,1.12261746353655,7.101446880795724,0.195,True,True,False,False
114,1.1328085422842356,7.099317339823318,0.205,True,True,False,False
115,1.1213905774449455,7.100638012167302,0.2,True,True,False,False
116,1.1334140698515183,7.098219414481534,0.195,True,True,False,False
117,1.1317597512091677,7.0993624582664125,0.18,True,True,False,False
118,3.459690736361517,7.1302995318380225,0.17,False,False,False,False
119,3.4010770412271083,7.134834372516675,1.0,False,False,False,False
120,3.4338705202076545,7.132771277303101,1.0,False,False,False,False
121,3.49884797994774,7.129118992798335,0.96875,False,False,False,False
122,3.4432741246655794,7.131204498570554,1.0,False,False,False,False
123,3.436676677081633,7.131875733231956,1.0,False,False,False,False
124,3.3978596155751366,7.13206791333578,1.0,False,False,False,False
125,3.383671196852273,7.132994290393119,1.0,False,False,False,False
126,3.3853373622334413,7.133558398171404,1.0,False,False,False,False
127,3.4455142013430713,7.130157916150804,1.0,False,False,False,False
128,3.398967771603505,7.129975318691438,1.0,False,False,False,False
129,3.465081076533418,7.131316053547063,1.0,False,False,False,False
130,3.418376277264003,7.130459937753077,1.0,False,False,False,False
131,3.397016463854359,7.128310958238243,1.0,False,False,False,False
132,3.3958726694940604,7.130575421211139,1.0,False,False,False,False
133,3.3525992848516117,7.128135791369473,1.0,False,False,False,False
134,3.414889406686356,7.130305124382947,1.0,False,False,False,False
135,3.4041087545366544,7.125978962458462,1.0,False,False,False,False
136,3.36276666088026,7.127897829066949,1.0,False,False,False,False
137,3.351788038015421,7.127586793860912,1.0,False,False,False,False
138,3.395085239907616,7.124255198505494,1.0,False,False,False,False
139,3.400966435764313,7.12161458298296,1.0,False,False,False,False
140,3.409510975468258,7.125713076985702,1.0,False,False,False,False
141,3.438679294384496,7.124213035816301,1.0,False,False,False,False
142,3.4147946042057855,7.125883979020328,1.0,False,False,False,False
143,3.4014531349022694,7.123422181606617,1.0,False,False,False,False
144,3.395207860083424,7.127014220103609,1.0,False,False,False,False
145,3.421490773767396,7.1243328535951,1.0,False,False,False,False
146,3.36972017143586,7.119649737425647,1.0,False,False,False,False
147,3.3737017049515408,7.122751912943378,0.9852941176470589,False,False,False,False
148,3.420616394979577,7.125361556519387,1.0,False,False,False,False
149,3.3768876988786154,7.117579491806284,1.0,False,False,False,False
150,3.40993836572785,7.121776295988731,1.0,False,False,False,False
151,3.3811026409812976,7.121914272349208,1.0,False,False,False,False
152,3.3457048309311417,7.123485655226046,1.0,False,False,False,False
153,3.3519620347216037,7.120418951069834,1.0,False,False,False,False
154,3.387735660828995,7.119948687234997,1.0,False,False,False,False
155,3.3892830949251835,7.119166371569206,1.0,False,False,False,False
156,3.3215194450140153,7.117664990252486,0.9852941176470589,False,False,False,False
157,3.344521482720319,7.119525075986157,1.0,False,False,False,False
158,3.3953346270321165,7.117694639216985,1.0,False,False,False,False
159,3.3090131421410263,7.1173577810880495,1.0,False,False,False,False
160,3.3979387295415373,7.119942290797626,1.0,False,False,False,False
161,3.366098978955251,7.117955397010832,1.0,False,False,False,False
162,3.3833308925354486,7.119058545738445,1.0,False,False,False,False
163,3.3867264992272967,7.11433734026994,1.0,False,False,False,False
164,3.3673892844216926,7.11563037979454,1.0,False,False,False,False
165,3.3071056201614755,7.121000588786819,1.0,False,False,False,False
166,3.4680928390853993,7.119952967041687,1.0,False,False,False,False
167,3.368180729208544,7.119931072280821,1.0,False,False,False,False
168,3.38278847254756,7.122359812097271,1.0,False,False,False,False
169,3.3632019362157313,7.118140684885535,1.0,False,False,False,False
170,3.3984057330785538,7.1203672819307435,1.0,False,False,False,False
171,3.3847200302498206,7.120223125810953,1.0,False,False,False,False
172,3.4023159407786556,7.1221467491651715,1.0,False,False,False,False
173,3.4092142339056806,7.120575232019864,1.0,False,False,False,False
174,3.3357830256263354,7.117589159635791,1.0,False,False,False,False
175,3.3775764187674944,7.122147824927731,1.0,False,False,False,False
176,3.3696015757645106,7.123320001143114,1.0,False,False,False,False
177,3.3564580618573356,7.123009779806656,0.9857142857142858,False,False,False,False
178,3.3818348646047696,7.125294294149624,1.0,False,False,False,False
179,3.3823294039586562,7.120644867058443,1.0,False,False,False,False
180,3.383686972392238,7.120449927256189,1.0,False,False,False,False
181,3.3912067648574613,7.124924203548945,1.0,False,False,False,False
182,3.398326411478254,7.123908179167428,1.0,False,False,False,False
183,3.403246002855598,7.127534937720132,1.0,False,False,False,False
184,3.38162482808264,7.125544835508315,1.0,False,False,False,False
185,3.3736147096684737,7.126061449678863,1.0,False,False,False,False
186,3.3088072364777763,7.127964266360486,1.0,False,False,False,False
187,3.39007473230908,7.126662316542815,1.0,False,False,False,False
188,3.4046232720903653,7.127786869126503,1.0,False,False,False,False
189,3.400831889373644,7.126633297583114,1.0,False,False,False,False
190,3.41245947794208,7.1286789055065185,1.0,False,False,False,False
191,3.3803467449317854,7.126401604844756,1.0,False,False,False,False
192,3.3347224571072873,7.128716024382218,1.0,False,False,False,False
193,3.395492906967374,7.127359447981858,1.0,False,False,False,False
194,3.3511231249757953,7.127356952463517,1.0,False,False,False,False
195,3.4140900853445095,7.1276282928451336,1.0,False,False,False,False
196,3.373123860624956,7.131132255802344,1.0,False,False,False,False
197,3.3439991624175067,7.128421864642677,0.9846153846153847,False,False,False,False
198,3.361812886874207,7.129005266300589,1.0,False,False,False,False
199,3.411940829654797,7.128786485068131,1.0,False,False,False,False
200,3.4279380696817583,7.129600763380922,1.0,False,False,False,False
201,3.3516890410826075,7.130327466087392,1.0,False,False,False,False
202,3.421277126630227,7.130440015246276,1.0,False,False,False,False
203,3.355654585910911,7.1291883852826405,1.0,False,False,False,False
204,3.3833664674933037,7.131182935630418,1.0,False,False,False,False
205,3.441034078813638,7.131094452252295,1.0,False,False,False,False
206,3.3802993095453098,7.129165244352995,1.0,False,False,False,False
207,3.4268100590377135,7.130422710837648,1.0,False,False,False,False
208,3.3675397035906522,7.1310271875144675,1.0,False,False,False,False
209,3.349512311101821,7.130313479577222,1.0,False,False,False,False
210,3.3489185527709027,7.131135351817948,1.0,False,False,False,False
211,3.383778136470915,7.132273516848292,1.0,False,False,False,False
212,3.374429850345124,7.119673928645973,0.9863013698630136,False,False,False,False
213,3.3090922475238904,7.121109118469111,1.0,False,False,False,False
214,3.360799400563514,7.117245149301549,1.0,False,False,False,False
215,3.3723481153792996,7.124742052543774,1.0,False,False,False,False
216,3.3952235316811334,7.124476424945527,1.0,False,False,False,False
217,3.359042370493707,7.127476195195371,1.0,False,False,False,False
218,3.3468249975060624,7.127217859089918,1.0,False,False,False,False
219,1.1194631771666725,7.099559529326742,0.46774193548387094,True,True,False,False
220,1.118588523580338,7.095346974614122,0.21,True,True,False,False
221,1.1192573745058758,7.09293523973615,0.19,True,True,False,False
222,1.1113023995577567,7.090480065047442,0.19,True,True,False,False
223,1.1206306988375316,7.093855672763178,0.16,True,True,False,False
224,1.1236187622730556,7.081982106830008,0.18,True,True,False,False
225,1.1227401524746417,7.080032464425871,0.205,True,True,False,False
226,1.120096408806962,7.0816045235099185,0.21,True,True,False,False
227,1.1193088249987775,7.092166173157833,0.2,True,True,False,False
228,1.1205832066242767,7.093037588238856,0.205,True,True,False,False
229,1.1232744387459976,7.092090380426596,0.195,True,True,False,False
230,1.1228984611052304,7.0907880846759355,0.21,True,True,False,False
231,1.1244815386396145,7.092275200341468,0.195,True,True,False,False
232,1.1284036205207935,7.091653409084201,0.215,True,True,False,False
233,1.1143814893594317,7.0923943232609545,0.205,True,True,False,False
234,1.1204605160885188,7.089863160112738,0.205,True,True,False,False
235,1.121236225308377,7.090962013573881,0.205,True,True,False,False
236,1.1255619933517338,7.086167847506935,0.205,True,True,False,False
237,1.1196531463956145,7.082688988138756,0.22,True,True,False,False
238,1.1225541403349288,7.0828882309943015,0.225,True,True,False,False
239,1.1179038429508326,7.072897955074817,0.21,True,True,False,False
240,1.11813338993263,7.071470766437906,0.22,True,True,False,False
241,1.1187547489895073,7.07233119103254,0.235,True,True,False,False
242,1.1169381629983466,7.071333001314453,0.23,True,True,False,False
243,1.1147891321722625,7.071794971468416,0.23,True,True,False,False
244,1.1131308570045653,7.071659875063872,0.2,True,True,False,False
245,1.1202863787877466,7.0823239490180665,0.2,True,True,False,False
246,1.125514500010714,7.0841267715505625,0.205,True,True,False,False
247,1.1278455856053409,7.085031003762886,0.2,True,True,False,False
248,1.1317241305768677,7.080753029874085,0.185,True,True,False,False
249,1.1212678886634875,7.084645959329499,0.22,True,True,False,False
250,1.1255659507229034,7.083253431546394,0.21,True,True,False,False
251,1.1226649563763411,7.076368135547273,0.215,True,True,False,False
252,1.124481540017993,7.0732665716666645,0.2,True,True,False,False
253,1.1214578571405864,7.075943607016625,0.205,True,True,False,False
254,1.128486730264998,7.083803699916014,0.17,True,True,False,False
255,1.1222612712792743,7.086469674079389,0.195,True,True,False,False
256,1.123179456387055,7.086239895251726,0.175,True,True,False,False
257,1.1171004283422425,7.077753564716896,0.18,True,True,False,False
258,1.1172310320540013,7.075840868468603,0.195,True,True,False,False
259,1.1275131395486733,7.078342029883018,0.23,True,True,False,False
260,1.1303270627700337,7.08479570703085,0.205,True,True,False,False
261,1.1273192100038434,7.083633308882955,0.185,True,True,False,False
262,1.1278970362235499,7.086082272443889,0.205,True,True,False,False
263,3.2629651526130057,7.107593046207059,0.215,False,False,False,False
264,3.2494179962758394,7.106858345766593,1.0,False,False,False,False
265,3.218821081967923,7.1057507156504,1.0,False,False,False,False
266,3.173331387962839,7.117517128886483,0.9893617021276596,False,False,False,False
267,3.175052920013364,7.115508761445352,0.9859154929577465,False,False,False,False
268,3.1542352780136107,7.116103048220699,1.0,False,False,False,False
269,3.1541522920728426,7.106781394989689,1.0,False,False,False,False
270,3.1863322178156364,7.106888523733915,1.0,False,False,False,False
271,3.180601587361309,7.109307735529944,0.9897959183673469,False,False,False,False
272,3.1937648174511177,7.1070403466658565,1.0,False,False,False,False
273,3.1894075061282003,7.108767248247684,1.0,False,False,False,False
274,3.2192959059849984,7.10755474398125,1.0,False,False,False,False
275,3.2294832014757584,7.110409271711475,1.0,False,False,False,False
276,3.208503285109995,7.102437048218247,0.9861111111111112,False,False,False,False
277,3.193001112669089,7.103126521843713,1.0,False,False,False,False
278,3.161838134141345,7.105325321428929,1.0,False,False,False,False
279,3.2366306482174645,7.105838868703234,1.0,False,False,False,False
280,3.2220862171156974,7.103690062935025,1.0,False,False,False,False
281,3.2545789612620064,7.1043484840792175,1.0,False,False,False,False
282,3.2216308625828622,7.101959063438935,1.0,False,False,False,False
283,3.185133195093716,7.106525264820134,0.9893617021276596,False,False,False,False
284,3.2110166208582926,7.100422407529553,1.0,False,False,False,False
285,3.1978216094367196,7.106935148905972,1.0,False,False,False,False
286,3.220091407699528,7.10360682884207,0.9880952380952381,False,False,False,False
