frame_idx,joint_fixed,joint_model_derived,decoupled_fixed,decoupled_model_derived,memoryless
0,C1,C1,C1,C1,C1
1,C1,C1,C1,C1,C1
2,C1,C1,C1,C1,C1
3,C1,C2,C1,C1,C1
4,C1,C2,C1,C1,C1
5,C1,C2,C1,C1,C1
6,C1,C2,C1,C1,C1
7,C1,C2,C1,C1,C1
8,C1,C2,C1,C1,C1
9,C1,C1,C1,C1,C1
10,C1,C1,C1,C1,C1
11,C1,C1,C1,C1,C1
12,C1,C1,C1,C1,C1
13,C1,C1,C1,C1,C1
14,C1,C1,C1,C1,C1
15,C1,C1,C1,C1,C1
16,C1,C1,C1,C1,C1
17,C1,C1,C1,C1,C1
18,C1,C1,C1,C1,C1
19,C1,C1,C1,C1,C1
20,C1,C1,C1,C1,C1
21,C1,C1,C1,C1,C1
22,C1,C1,C1,C1,C1
23,C1,C1,C1,C1,C1
24,C2,C2,C1,C1,C1
25,C2,C2,C1,C1,C1
26,C2,C1,C1,C1,C1
27,C2,C1,C1,C1,C1
28,C2,C1,C1,C1,C1
29,C2,C1,C1,C1,C1
30,C2,C1,C1,C1,C1
31,C2,C1,C1,C1,C1
32,C2,C1,C1,C1,C1
33,C2,C1,C1,C1,C1
34,C2,C1,C1,C1,C1
35,C2,C2,C1,C1,C1
36,C2,C2,C1,C1,C1
37,C2,C2,C1,C1,C1
38,C2,C2,C1,C1,C2
39,C2,C2,C1,C1,C2
40,C2,C2,C1,C1,C2
41,C2,C2,C1,C1,C2
42,C2,C2,C2,C2,C2
43,C2,C2,C2,C2,C2
44,C2,C2,C2,C2,C2
45,C2,C2,C2,C2,C2
46,C2,C2,C2,C2,C2
47,C2,C2,C2,C2,C2
48,C2,C2,C2,C2,C2
49,C2,C2,C2,C2,C2
50,C2,C2,C2,C2,C2
51,C2,C2,C2,C2,C2
52,C2,C2,C2,C2,C2
53,C2,C2,C2,C2,C2
54,C2,C2,C2,C2,C2
55,C2,C2,C1,C1,C2
56,C1,C1,C1,C1,C2
57,C1,C1,C1,C1,C2
58,C1,C1,C1,C1,C2
59,C1,C1,C1,C1,C2
60,C1,C1,C1,C1,C2
61,C1,C1,C1,C1,C2
62,C1,C1,C1,C1,C2
63,C1,C1,C1,C1,C2
64,C1,C1,C1,C1,C2
65,C1,C1,C1,C1,C2
66,C1,C1,C1,C1,C2
67,C1,C1,C1,C1,C2
68,C1,C1,C1,C1,C1
69,C1,C1,C1,C1,C1
70,C1,C1,C1,C1,C1
71,C1,C1,C1,C1,C1
72,C1,C1,C1,C1,C1
73,C1,C1,C1,C1,C1
74,C1,C1,C1,C1,C1
75,C1,C1,C1,C1,C1
76,C1,C1,C1,C1,C1
77,C1,C1,C1,C1,C1
78,C1,C1,C1,C1,C1
79,C1,C1,C1,C1,C1
80,C1,C1,C1,C1,C1
81,C1,C1,C1,C1,C1
82,C1,C1,C1,C1,C1
83,C1,C1,C1,C1,C1
84,C1,C1,C1,C1,C1
85,C1,C1,C1,C1,C1
86,C1,C1,C1,C1,C1
87,C1,C1,C1,C1,C1
88,C1,C1,C1,C1,C1
89,C1,C1,C1,C1,C1
90,C1,C1,C1,C1,C1
91,C1,C1,C1,C1,C1
92,C1,C1,C1,C1,C1
93,C1,C1,C1,C1,C1
94,C1,C1,C1,C1,C1
95,C1,C1,C1,C1,C1
96,C1,C1,C1,C1,C1
97,C1,C1,C1,C1,C1
98,C1,C1,C1,C1,C1
99,C1,C1,C1,C1,C1
100,C1,C1,C1,C1,C1
101,C1,C1,C1,C1,C1
102,C1,C1,C1,C1,C1
103,C1,C1,C1,C1,C1
104,C1,C1,C1,C1,C1
105,C1,C1,C1,C1,C1
106,C1,C1,C1,C1,C1
107,C1,C1,C1,C1,C1
108,C1,C1,C1,C1,C1
109,C1,C1,C1,C1,C1
110,C1,C1,C1,C1,C1
111,C1,C1,C1,C1,C1
112,C1,C1,C1,C1,C1
113,C1,C1,C1,C1,C1
114,C1,C1,C1,C1,C1
115,C1,C1,C1,C1,C1
116,C1,C1,C1,C1,C1
117,C1,C1,C1,C1,C1
118,C1,C1,C1,C1,C1
119,C1,C1,C1,C1,C1
120,C1,C1,C1,C1,C1
121,C1,C1,C1,C1,C1
122,C2,C2,C1,C1,C1
123,C2,C2,C1,C1,C1
124,C2,C2,C1,C1,C2
125,C2,C2,C1,C1,C2
126,C2,C2,C2,C2,C2
127,C2,C2,C2,C2,C2
128,C2,C2,C2,C2,C2
129,C2,C2,C2,C2,C2
130,C2,C2,C2,C2,C2
131,C2,C2,C2,C2,C2
132,C2,C2,C2,C2,C2
133,C2,C2,C2,C2,C2
134,C2,C2,C2,C2,C2
135,C2,C2,C2,C2,C2
136,C2,C2,C2,C2,C2
137,C2,C2,C2,C2,C2
138,C2,C2,C2,C2,C2
139,C2,C2,C2,C2,C2
140,C2,C2,C2,C2,C2
141,C2,C2,C2,C2,C2
142,C2,C2,C2,C2,C2
143,C2,C2,C2,C2,C2
144,C2,C2,C2,C2,C2
145,C2,C2,C2,C2,C2
146,C2,C2,C2,C2,C2
147,C2,C2,C2,C2,C2
148,C2,C2,C2,C2,C2
149,C2,C2,C2,C2,C2
150,C2,C2,C2,C2,C2
151,C2,C2,C2,C2,C2
152,C2,C2,C2,C2,C2
153,C2,C2,C2,C2,C2
154,C2,C2,C2,C2,C2
155,C2,C2,C2,C2,C2
156,C2,C2,C2,C2,C2
