frame_idx,joint_fixed,joint_model_derived,decoupled_fixed,decoupled_model_derived,memoryless
0,C1,C1,C1,C1,C1
1,C1,C1,C1,C1,C1
2,C1,C2,C1,C1,C1
3,C1,C2,C1,C1,C1
4,C1,C2,C1,C1,C1
5,C1,C2,C1,C1,C2
6,C1,C2,C1,C2,C2
7,C1,C2,C1,C2,C2
8,C1,C2,C1,C2,C2
9,C1,C2,C1,C2,C2
10,C1,C2,C1,C2,C2
11,C2,C2,C2,C2,C2
12,C2,C2,C2,C2,C2
13,C2,C2,C2,C2,C2
14,C2,C2,C2,C2,C2
15,C2,C2,C2,C2,C2
16,C2,C2,C2,C2,C2
17,C2,C2,C2,C2,C2
18,C2,C2,C2,C2,C2
19,C2,C2,C2,C2,C2
20,C2,C2,C2,C2,C2
21,C2,C2,C2,C2,C2
22,C2,C2,C2,C2,C2
23,C2,C2,C2,C2,C2
24,C2,C2,C2,C2,C2
25,C2,C2,C2,C2,C2
26,C2,C2,C2,C2,C2
27,C2,C2,C2,C2,C2
28,C2,C2,C2,C2,C2
29,C2,C2,C2,C2,C2
30,C2,C2,C2,C2,C2
31,C2,C2,C2,C2,C2
32,C2,C2,C2,C2,C2
33,C2,C2,C2,C2,C2
34,C2,C2,C2,C2,C2
35,C2,C2,C2,C2,C2
36,C2,C2,C2,C2,C2
37,C2,C2,C2,C2,C2
38,C2,C2,C2,C2,C2
39,C2,C2,C2,C2,C2
40,C2,C2,C2,C2,C2
41,C2,C2,C2,C2,C2
42,C2,C2,C2,C2,C2
43,C2,C2,C2,C2,C2
44,C2,C2,C2,C2,C2
45,C2,C2,C2,C2,C2
46,C2,C2,C2,C2,C2
47,C2,C2,C2,C2,C2
48,C2,C2,C2,C2,C2
49,C2,C2,C2,C2,C2
50,C2,C2,C2,C2,C2
51,C2,C2,C2,C2,C2
52,C2,C2,C2,C2,C2
53,C2,C2,C2,C2,C2
54,C1,C1,C1,C1,C2
55,C1,C1,C1,C1,C2
56,C1,C1,C1,C1,C2
57,C1,C1,C1,C1,C2
58,C1,C1,C1,C1,C2
59,C1,C1,C1,C1,C2
60,C1,C1,C1,C1,C2
61,C1,C1,C1,C1,C2
62,C1,C1,C1,C1,C2
63,C1,C1,C1,C1,C2
64,C1,C1,C1,C1,C2
65,C1,C1,C1,C1,C2
66,C1,C1,C1,C1,C2
67,C1,C1,C1,C1,C2
68,C1,C1,C1,C1,C1
69,C1,C1,C1,C1,C1
70,C1,C1,C1,C1,C1
71,C1,C1,C1,C1,C1
72,C1,C1,C1,C1,C1
73,C1,C1,C1,C1,C1
74,C1,C1,C1,C1,C1
75,C1,C1,C1,C1,C1
76,C1,C1,C1,C1,C1
77,C1,C1,C1,C1,C1
78,C1,C1,C1,C1,C1
79,C1,C1,C1,C1,C1
80,C1,C1,C1,C1,C1
81,C1,C1,C1,C1,C1
82,C1,C1,C1,C1,C1
83,C1,C1,C1,C1,C1
84,C1,C1,C1,C1,C1
85,C1,C1,C1,C1,C1
86,C1,C1,C1,C1,C1
87,C1,C1,C1,C1,C1
88,C1,C1,C1,C1,C1
89,C1,C1,C1,C1,C1
90,C1,C1,C1,C1,C1
91,C1,C1,C1,C1,C1
92,C1,C1,C1,C1,C1
93,C1,C1,C1,C1,C1
94,C1,C1,C1,C1,C1
95,C1,C1,C1,C1,C1
96,C1,C1,C1,C1,C1
97,C1,C1,C1,C1,C1
98,C1,C1,C1,C1,C1
99,C1,C1,C1,C1,C1
100,C1,C1,C1,C1,C1
101,C1,C1,C1,C1,C1
102,C1,C1,C1,C1,C1
103,C1,C1,C1,C1,C1
104,C1,C1,C1,C1,C1
105,C2,C2,C1,C1,C1
106,C2,C2,C1,C1,C1
107,C2,C1,C1,C1,C1
108,C2,C1,C1,C1,C1
109,C2,C1,C1,C1,C1
110,C2,C1,C1,C1,C1
111,C2,C1,C1,C1,C1
112,C2,C1,C1,C1,C1
113,C2,C1,C1,C1,C1
114,C2,C1,C1,C1,C1
115,C2,C1,C1,C1,C1
116,C1,C1,C1,C1,C1
117,C1,C1,C1,C1,C1
118,C1,C1,C1,C1,C1
119,C1,C1,C1,C1,C1
120,C1,C1,C1,C1,C1
121,C1,C1,C1,C1,C1
122,C1,C1,C1,C1,C1
123,C1,C1,C1,C1,C1
124,C1,C1,C1,C1,C1
125,C1,C1,C1,C1,C1
126,C1,C1,C1,C1,C1
127,C1,C1,C1,C1,C2
128,C1,C1,C1,C1,C2
129,C1,C1,C1,C1,C2
130,C1,C1,C1,C1,C2
131,C1,C1,C1,C1,C2
132,C1,C1,C1,C1,C2
133,C1,C1,C1,C1,C2
134,C1,C1,C1,C1,C2
135,C1,C1,C1,C1,C2
136,C1,C1,C1,C1,C2
137,C1,C1,C1,C1,C2
138,C1,C1,C1,C1,C2
139,C1,C1,C1,C1,C2
140,C1,C1,C1,C1,C2
141,C1,C1,C1,C1,C2
142,C1,C1,C1,C1,C2
143,C1,C1,C1,C1,C2
144,C1,C1,C1,C1,C2
145,C1,C1,C1,C1,C2
146,C1,C1,C1,C1,C2
147,C1,C1,C1,C1,C2
148,C1,C1,C1,C1,C2
149,C1,C1,C1,C1,C1
150,C1,C1,C1,C1,C1
151,C1,C1,C1,C1,C1
152,C1,C1,C1,C1,C1
153,C1,C1,C1,C1,C1
154,C1,C1,C1,C1,C1
155,C1,C1,C1,C1,C1
156,C1,C1,C1,C1,C1
