frame_idx,joint_fixed,joint_model_derived,decoupled_fixed,decoupled_model_derived,memoryless
0,C1,C1,C1,C1,C1
1,C1,C1,C1,C1,C1
2,C1,C1,C1,C1,C1
3,C1,C1,C1,C1,C1
4,C1,C1,C1,C1,C1
5,C1,C1,C1,C1,C1
6,C1,C1,C1,C1,C1
7,C1,C1,C1,C1,C1
8,C1,C1,C1,C1,C1
9,C1,C2,C1,C1,C1
10,C1,C2,C1,C1,C1
11,C1,C1,C1,C1,C1
12,C1,C1,C1,C1,C1
13,C1,C1,C1,C1,C1
14,C1,C1,C1,C1,C1
15,C1,C1,C1,C1,C1
16,C1,C1,C1,C1,C1
17,C1,C1,C1,C1,C1
18,C1,C1,C1,C1,C1
19,C1,C1,C1,C1,C1
20,C1,C1,C1,C1,C1
21,C1,C1,C1,C1,C1
22,C2,C2,C1,C1,C1
23,C2,C2,C1,C1,C1
24,C2,C2,C1,C1,C1
25,C2,C2,C1,C1,C1
26,C2,C2,C1,C1,C1
27,C2,C2,C1,C1,C1
28,C2,C2,C1,C1,C1
29,C2,C2,C1,C1,C1
30,C2,C2,C1,C1,C2
31,C2,C2,C2,C2,C2
32,C2,C2,C2,C2,C2
33,C2,C2,C2,C2,C2
34,C2,C2,C2,C2,C2
35,C2,C2,C2,C2,C2
36,C2,C2,C2,C2,C2
37,C2,C2,C2,C2,C2
38,C2,C2,C2,C2,C2
39,C2,C2,C2,C2,C2
40,C2,C2,C2,C2,C2
41,C2,C2,C2,C2,C2
42,C2,C2,C2,C2,C2
43,C2,C2,C2,C2,C2
44,C2,C2,C2,C2,C2
45,C2,C2,C2,C2,C2
46,C2,C2,C2,C2,C2
47,C2,C2,C2,C2,C2
48,C2,C2,C2,C2,C2
49,C2,C2,C2,C2,C2
50,C2,C2,C2,C2,C2
51,C2,C2,C2,C2,C2
52,C2,C2,C2,C2,C2
53,C2,C2,C2,C2,C2
54,C2,C2,C2,C2,C2
55,C2,C2,C2,C2,C2
56,C2,C2,C2,C2,C2
57,C2,C2,C2,C2,C2
58,C2,C2,C2,C2,C2
59,C2,C2,C2,C2,C2
60,C2,C2,C2,C2,C2
61,C2,C2,C2,C2,C2
62,C2,C2,C2,C2,C2
63,C2,C2,C2,C2,C2
64,C2,C2,C2,C2,C2
65,C2,C2,C2,C2,C2
66,C2,C2,C2,C2,C2
67,C2,C2,C2,C2,C2
68,C2,C2,C2,C2,C2
69,C2,C2,C2,C2,C2
70,C2,C2,C2,C2,C2
71,C2,C2,C2,C2,C2
72,C2,C2,C2,C2,C2
73,C2,C2,C2,C2,C2
74,C2,C2,C2,C2,C2
75,C2,C2,C2,C2,C2
76,C2,C2,C2,C2,C2
77,C2,C2,C2,C2,C2
78,C2,C2,C2,C2,C2
79,C2,C2,C2,C2,C2
80,C1,C1,C1,C1,C1
81,C1,C1,C1,C1,C1
82,C1,C1,C1,C1,C1
83,C1,C1,C1,C1,C1
84,C1,C1,C1,C1,C1
85,C1,C1,C1,C1,C1
86,C1,C1,C1,C1,C1
87,C1,C1,C1,C1,C1
88,C1,C1,C1,C1,C1
89,C1,C1,C1,C1,C1
90,C1,C1,C1,C1,C1
91,C1,C1,C1,C1,C1
92,C1,C1,C1,C1,C1
93,C1,C1,C1,C1,C1
94,C1,C1,C1,C1,C1
95,C1,C1,C1,C1,C1
96,C1,C1,C1,C1,C1
97,C1,C1,C1,C1,C1
98,C1,C1,C1,C1,C1
99,C1,C1,C1,C1,C1
100,C1,C1,C1,C1,C1
101,C1,C1,C1,C1,C1
102,C1,C1,C1,C1,C1
103,C1,C1,C1,C1,C1
104,C1,C1,C1,C1,C1
105,C1,C1,C1,C1,C1
106,C1,C1,C1,C1,C1
107,C1,C1,C1,C1,C1
108,C1,C1,C1,C1,C1
109,C1,C1,C1,C1,C1
110,C1,C1,C1,C1,C1
111,C1,C1,C1,C1,C1
112,C1,C1,C1,C1,C1
113,C1,C1,C1,C1,C1
114,C1,C1,C1,C1,C1
115,C1,C1,C1,C1,C1
116,C1,C1,C1,C1,C1
117,C1,C1,C1,C1,C1
118,C1,C1,C1,C1,C1
119,C1,C1,C1,C1,C1
120,C1,C1,C1,C1,C1
121,C1,C1,C1,C1,C1
122,C1,C1,C1,C1,C1
123,C1,C1,C1,C1,C1
124,C1,C1,C1,C1,C1
125,C1,C1,C1,C1,C1
126,C1,C1,C1,C1,C1
127,C1,C1,C1,C1,C1
128,C1,C1,C1,C1,C1
129,C1,C1,C1,C1,C1
130,C1,C1,C1,C1,C1
131,C1,C1,C1,C1,C1
132,C1,C1,C1,C1,C1
133,C1,C1,C1,C1,C1
134,C1,C1,C1,C1,C1
135,C1,C1,C1,C1,C1
136,C1,C1,C1,C1,C1
137,C1,C1,C1,C1,C1
138,C1,C1,C1,C1,C1
139,C1,C1,C1,C1,C1
140,C1,C1,C1,C1,C1
141,C1,C1,C1,C1,C1
142,C1,C1,C1,C1,C1
143,C1,C1,C1,C1,C1
144,C1,C1,C1,C1,C1
145,C1,C1,C1,C1,C1
146,C1,C1,C1,C1,C1
147,C1,C1,C1,C1,C1
148,C1,C1,C1,C1,C1
149,C1,C1,C1,C1,C1
150,C1,C1,C1,C1,C1
151,C1,C1,C1,C1,C1
152,C1,C1,C1,C1,C1
153,C1,C1,C1,C1,C1
154,C1,C1,C1,C1,C1
155,C1,C1,C1,C1,C1
156,C1,C1,C1,C1,C1
